timestamp,device_id,moisture_pct,flow_rate_lpm,temperature_c
2025-04-02 00:00:00,DEV-003,52.4,0.6,19.2
2025-04-02 01:00:00,DEV-003,52.9,0.7,19.0
2025-04-02 02:00:00,DEV-003,53.5,0.8,18.8
2025-04-02 03:00:00,DEV-003,54.0,0.9,18.7
2025-04-02 04:00:00,DEV-003,54.4,0.9,18.6
2025-04-02 05:00:00,DEV-003,54.7,0.8,18.5
2025-04-02 06:00:00,DEV-003,55.0,0.7,18.7
2025-04-02 07:00:00,DEV-003,55.4,0.6,19.1
2025-04-02 08:00:00,DEV-003,55.8,0.5,19.6
2025-04-02 09:00:00,DEV-003,56.1,0.4,20.1
2025-04-02 10:00:00,DEV-003,56.3,0.3,20.7
2025-04-02 11:00:00,DEV-003,56.5,0.2,21.2
2025-04-02 12:00:00,DEV-003,56.6,0.2,21.7
2025-04-02 13:00:00,DEV-003,56.7,0.1,22.1
2025-04-02 14:00:00,DEV-003,56.8,0.1,22.5
2025-04-02 15:00:00,DEV-003,56.7,0.1,22.8
2025-04-02 16:00:00,DEV-003,56.5,0.0,22.6
2025-04-02 17:00:00,DEV-003,56.2,0.0,22.2
2025-04-02 18:00:00,DEV-003,55.8,0.1,21.7
2025-04-02 19:00:00,DEV-003,55.3,0.2,21.1
2025-04-02 20:00:00,DEV-003,54.7,0.3,20.4
2025-04-02 21:00:00,DEV-003,54.1,0.4,19.9
2025-04-02 22:00:00,DEV-003,53.6,0.5,19.5
2025-04-02 23:00:00,DEV-003,53.0,0.6,19.3
2025-04-02 00:00:00,DEV-004,37.2,0.0,15.8
2025-04-02 01:00:00,DEV-004,37.4,0.0,15.7
2025-04-02 02:00:00,DEV-004,37.6,0.0,15.6
2025-04-02 03:00:00,DEV-004,37.8,0.0,15.5
2025-04-02 04:00:00,DEV-004,38.0,0.0,15.4
2025-04-02 05:00:00,DEV-004,38.2,0.0,15.3
2025-04-02 06:00:00,DEV-004,38.5,0.1,15.6
2025-04-02 07:00:00,DEV-004,38.9,0.2,16.0
2025-04-02 08:00:00,DEV-004,39.4,0.3,16.6
2025-04-02 09:00:00,DEV-004,39.9,0.4,17.2
2025-04-02 10:00:00,DEV-004,40.3,0.4,17.8
2025-04-02 11:00:00,DEV-004,40.6,0.3,18.3
2025-04-02 12:00:00,DEV-004,40.8,0.2,18.7
2025-04-02 13:00:00,DEV-004,40.9,0.2,19.0
2025-04-02 14:00:00,DEV-004,41.0,0.1,19.3
2025-04-02 15:00:00,DEV-004,41.0,0.1,19.6
2025-04-02 16:00:00,DEV-004,40.9,0.0,19.5
2025-04-02 17:00:00,DEV-004,40.7,0.0,19.2
2025-04-02 18:00:00,DEV-004,40.4,0.1,18.8
2025-04-02 19:00:00,DEV-004,40.0,0.2,18.3
2025-04-02 20:00:00,DEV-004,39.5,0.3,17.7
2025-04-02 21:00:00,DEV-004,39.0,0.4,17.2
2025-04-02 22:00:00,DEV-004,38.5,0.4,16.7
2025-04-02 23:00:00,DEV-004,38.0,0.3,16.3
